Adam Jones,20180909,1852.00
Billy Howerdel,20181012,800.00
Danny Carey,20140827,800.00
Jeff Friedl,20140105,529.00
James Iha,20161402,1000
Draco Rosa,20190201,3000
Draco Rosa,20190402,1000
Draco Rosa,20190502,1000
Paz Lenchantin,20190402,1500
Paz Lenchantin,20190402,500
Andres Calamaro,20190402,1500
Andres Calamaro,20190502,500
Adam Jones,20190402,148
Gustavo Cerati,20184/02,1250
Fito Paez,20190402,750
Jack Antonoff,20190402,7500
Sara Bareilles,20190302,675
Maynard James Keenan,20190102,7800
Sara Bareilles,19801902,325
